full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
   433 Eros (A898 PA),1.458,0.2228,10.83,304.29,178.91,1.133,1.78,1.76,46582,9130,10.41,1893-10-29,2460200.5
   719 Albert (A911 TB),2.636,0.547,11.58,183.85,156.23,1.194,4.08,4.28,41042,2076,15.59,1911-10-04,2460200.5
   887 Alinda (A918 AA),2.472,0.5709,9.4,110.42,350.47,1.061,3.88,3.89,38524,3463,13.88,1918-02-03,2460200.5
  1036 Ganymed (A924 UB),2.666,0.5329,26.69,215.5,132.48,1.245,4.09,4.35,36284,10279,9.26,1924-10-23,2460200.5
  1221 Amor (1932 EA1),1.919,0.4357,11.88,171.32,26.65,1.083,2.76,2.66,33450,622,17.38,1932-03-12,2460200.5
  1566 Icarus (1949 MA),1.078,0.8269,22.8,87.95,31.44,0.187,1.97,1.12,27042,1645,16.58,1949-07-01,2460200.5
  1580 Betulia (1950 KA),2.198,0.487,52.15,62.23,159.59,1.127,3.27,3.26,26007,1767,14.69,1952-10-27,2460200.5
  1620 Geographos (1951 RA),1.246,0.3355,13.34,337.17,276.95,0.828,1.66,1.39,26433,8170,15.27,1951-09-14,2460200.5
  1627 Ivar (1929 SH),1.864,0.3964,8.45,133.12,167.81,1.125,2.6,2.54,34485,13316,12.84,1929-09-25,2460200.5
  1685 Toro (1948 OA),1.368,0.4361,9.38,274.22,127.24,0.771,1.96,1.6,27616,5009,14.31,1948-07-17,2460200.5
  1862 Apollo (1932 HA),1.471,0.5599,6.35,35.56,286.05,0.647,2.29,1.78,34041,3461,16.08,1930-12-13,2460200.5
  1863 Antinous (1948 EA),2.26,0.6059,18.39,346.42,268.1,0.891,3.63,3.4,27693,1369,15.45,1948-03-05,2460200.5
  1864 Daedalus (1971 FA),1.461,0.6144,22.22,6.61,325.67,0.563,2.36,1.77,19329,4812,14.87,1971-03-24,2460200.5
  1865 Cerberus (1971 UA),1.08,0.4669,16.1,212.89,325.3,0.576,1.58,1.12,18245,2354,16.79,1971-11-10,2460200.5
  1866 Sisyphus (1972 XA),1.894,0.5382,41.21,63.46,293.11,0.875,2.91,2.61,25231,8252,12.54,1955-01-26,2460200.5
  1915 Quetzalcoatl (1953 EA),2.544,0.5703,20.4,162.94,347.79,1.093,3.99,4.06,18842,51,18.05,1953-03-09,2460200.5
  1916 Boreas (1953 RA),2.272,0.4496,12.88,340.6,335.89,1.251,3.29,3.43,25738,2304,14.95,1953-09-01,2460200.5
  1917 Cuyo (1968 AA),2.15,0.5057,23.96,188.28,194.55,1.063,3.24,3.15,25252,3644,14.41,1954-05-06,2460200.5
  1943 Anteros (1973 EC),1.431,0.256,8.71,246.3,338.41,1.064,1.8,1.71,18607,5734,15.7,1973-03-10,2460200.5
  1980 Tezcatlipoca (1950 LA),1.71,0.3647,26.87,246.55,115.49,1.086,2.33,2.24,26912,7035,13.87,1950-06-19,2460200.5
  1981 Midas (1973 EA),1.777,0.6501,39.82,356.85,267.82,0.622,2.93,2.37,18496,1203,15.28,1973-03-06,2460200.5
  2059 Baboquivari (1963 UA),2.642,0.5319,11.02,200.69,192.46,1.237,4.05,4.29,21402,1600,15.98,1963-10-16,2460200.5
  2061 Anza (1960 UA),2.265,0.5359,3.8,207.36,157.08,1.051,3.48,3.41,22802,1883,16.7,1960-10-22,2460200.5
  2062 Aten (1976 AA),0.967,0.1829,18.93,108.53,148.05,0.79,1.14,0.951,23339,1024,17.11,1955-12-17,2460200.5
  2063 Bacchus (1977 HB),1.078,0.3494,9.43,33.06,55.35,0.701,1.45,1.12,17055,1068,17.22,1977-04-24,2460200.5
  2100 Ra-Shalom (1978 RA),0.832,0.4365,15.76,170.78,356.08,0.469,1.2,0.759,17463,3209,16.23,1975-10-03,2460200.5
  2101 Adonis (1936 CA),1.874,0.7643,1.32,349.47,43.64,0.442,3.31,2.56,30790,123,18.72,1936-02-21,2460200.5
  2102 Tantalus (1975 YA),1.29,0.2993,64,94.35,61.52,0.904,1.68,1.47,17388,2148,16,1976-01-02,2460200.5
  2135 Aristaeus (1977 HA),1.6,0.5028,23.07,191.12,290.97,0.795,2.4,2.02,15749,61,18.05,1977-04-17,2460200.5
  2201 Oljato (1947 XC),2.178,0.7114,2.52,74.87,98.42,0.628,3.73,3.21,33583,1360,15.36,1931-12-03,2460200.5
  2202 Pele (1972 RA),2.291,0.5127,8.74,169.92,217.95,1.116,3.47,3.47,18101,324,17.14,1972-09-07,2460200.5
  2212 Hephaistos (1978 SB),2.161,0.8374,11.54,27.5,209.43,0.351,3.97,3.18,16544,4256,13.51,1978-09-27,2460200.5
  2329 Orthos (1976 WA),2.41,0.6536,24.47,169.28,146.08,0.835,3.98,3.74,17419,1952,14.57,1976-05-31,2460200.5
  2340 Hathor (1976 UA),0.8438,0.4499,5.86,211.3,40.09,0.464,1.22,0.775,16477,572,20.43,1976-10-25,2460200.5
  2368 Beltrovata (1977 RA),2.105,0.4134,5.22,287.3,43.13,1.235,2.98,3.06,16964,2195,15.15,1977-09-04,2460200.5
  2608 Seneca (1978 DA),2.528,0.5681,14.54,167.09,38.02,1.092,3.96,4.02,16284,83,17.48,1978-02-17,2460200.5
  3102 Krok (1981 QA),2.151,0.4496,8.44,172.05,154.79,1.184,3.12,3.15,15517,2557,16.17,1981-08-21,2460200.5
  3103 Eger (1982 BB),1.404,0.3543,20.93,129.74,254.09,0.907,1.9,1.66,15372,7905,15.33,1982-01-21,2460200.5
  3122 Florence (1981 ET3),1.769,0.4231,22.14,336.06,27.88,1.02,2.52,2.35,16423,8440,14.1,1979-03-09,2460200.5
  3199 Nefertiti (1982 RA),1.575,0.2842,32.96,339.99,53.43,1.127,2.02,1.98,14939,3774,15.03,1982-09-13,2460200.5
  3200 Phaethon (1983 TB),1.271,0.89,22.29,265.15,322.24,0.14,2.4,1.43,14705,6988,14.4,1983-10-27,2460200.5
  3271 Ul (1982 RB),2.101,0.3959,25.07,158.82,159.1,1.269,2.93,3.05,15132,245,16.58,1982-09-14,2460200.5
  3288 Seleucus (1982 DV),2.033,0.4562,5.93,218.62,349.3,1.106,2.96,2.9,15257,2583,15.35,1982-02-28,2460200.5
  3352 McAuliffe (1981 CW),1.879,0.3692,4.77,107.33,16.1,1.185,2.57,2.57,15607,2471,15.97,1981-02-06,2460200.5
  3360 Syrinx (1981 VA),2.467,0.7455,21.14,242.47,63.56,0.628,4.31,3.87,15056,646,16.04,1981-11-04,2460200.5
  3361 Orpheus (1982 HR),1.21,0.3229,2.66,188.68,302.36,0.82,1.6,1.33,14537,2742,19.56,1982-04-24,2460200.5
  3362 Khufu (1984 QA),0.9895,0.4686,9.92,152.42,55.07,0.526,1.45,0.984,7394,262,18.52,1984-08-30,2460200.5
  3551 Verenia (1983 RD),2.092,0.4873,9.51,173.78,193.28,1.073,3.11,3.03,14774,577,16.72,1983-09-07,2460200.5
  3552 Don Quixote (1983 SA),4.265,0.7078,31.09,349.94,316.58,1.246,7.28,8.81,14766,1408,13.05,1983-09-10,2460200.5
