ID,LOW X,MID X,HIGH X,LOW Y,MID Y,HIGH Y
2000 RZ92,1358,1358,1359,434,441,447
1999 TH90,1419,1422,1424,686,691,696
2004 RN50,300,305,309,826,832,837
2000 KU3,1329,1331,1334,745,750,755
2001 FO85,941,941,946,756,761,766
2014 TH28,1020,1023,1025,851,856,860
2016 AW172,962,966,970,5,10,15
2018 RB,1454,1454,1455,526,546,566
2005 SF90,1117,1119,1121,554,559,564
2018 RX19,1017,1022,1027,274,279,283
2018 RB10,1018,1023,1028,265,269,274
2000 DD43,1041,1042,1044,719,724,729
2000 EE17,270,270,271,88,95,101
2016 AS350,660,664,669,786,741,796
2018 RW19,922,923,924,189,194,198
2005 EQ301,1002,1004,1005,368,373,377
2016 BG55,44,47,50,474,479,484
2015 AY219,401,404,407,853,857,861
2008 WY119,223,225,226,834,839,843
2022 OJ30,381,383,385,765,771,776
2011 BN61,463,464,466,36,42,48
2016 CM211,1360,1362,1364,832,836,841
2013 CZ162,1284,1286,1288,301,307,313
2021 GY143,1185,1187,1188,651,657,664
2000 PN30,850,851,851,750,750,751
2023 CH1,102,104,107,147,154,160
