Target,LOW X,LOW Y,HIGH X,HIGH Y
2000 RZ92,1210,261,1274,263
1999 TH90,1210,500,1214,505
2000 KU3,1125,699,1126,730
2001 FO85,698,541,751,734
2014 TH28,825,794,1000,800
2016 AW172,930,0,940,1
2005 SF90,1018,346,1102,387
2000 DD43,1029,699,1030,709
2000 EE117,120,0,190,71
2016 AS350,460,605,630,769
2018 RW19,705,54,737,168
2005 EQ301,790,322,855,355
2016 BG55,0,300,24,461
2015 AY219,382,660,385,800
2008 WY119,10,650,21,745
2022 OJ30,324,585,362,615
2011 BN61,280,0,447,23
2013 CZ162,1075,125,1100,285
2021 GY143,1050,599,1062,636
2023 CH1,0,0,10,130
2018 RB,1311,447,1312,448
