Original Image,Saved as Stack,Stack Mean,Stack Median,Stack Standard Deviation,Stack Crop Start
31.fit,stack411,0.2338006684589484,0.2338211054671326,0.008227243674556791,"(638, 375)"
26.fit,stack412,0.23355144613299111,0.23355089601440596,0.008790530513307745,"(181, 497)"
17.fit,stack413,0.23576965458949103,0.23570886592878434,0.008864900626769956,"(132, 535)"
18.fit,stack414,0.23773285355084417,0.23785837172867996,0.008579015738222158,"(548, 734)"
10.fit,stack415,0.23484007386555963,0.234900619629511,0.008908737345301575,"(227, 65)"
27.fit,stack416,0.23500012286906746,0.23517016734801388,0.00822691701173039,"(626, 362)"
8.fit,stack417,0.2341562917183489,0.23409118253730107,0.008707613229346026,"(530, 744)"
33.fit,stack418,0.23466825018663223,0.23463093960048179,0.008798796764589953,"(1036, 684)"
3.fit,stack419,0.23272064089270475,0.23273947318991758,0.008917536130335002,"(1196, 484)"
21.fit,stack420,0.23487155273129617,0.234900619629511,0.008812414476150077,"(195, 273)"
30.fit,stack421,0.23478941732063038,0.234900619629511,0.008445189346268324,"(832, 579)"
8.fit,stack422,0.24152631386864137,0.24159967260941934,0.008294509673224214,"(489, 428)"
45.fit,stack423,0.23473271359469672,0.23463093960048179,0.008710522036470703,"(250, 249)"
1.fit,stack424,0.24614623636560795,0.24610797179541435,0.00888004310948319,"(1099, 71)"
51.fit,stack425,0.23712141689697963,0.2370532982962721,0.008673738682339812,"(744, 697)"
25.fit,stack426,0.2312856897499532,0.2311130509801443,0.009231220894915812,"(1278, 752)"
57.fit,stack427,0.23514242828792606,0.23517016734801388,0.009255385304016565,"(33, 79)"
21.fit,stack428,0.23458552451097017,0.23463093960048179,0.008865506240406502,"(973, 783)"
4.fit,stack429,0.2359685837278434,0.23597801682947034,0.008771797597390135,"(214, 579)"
24.fit,stack430,0.2342446132696852,0.23436112724246505,0.008318730068525066,"(433, 470)"
4.fit,stack431,0.23817550821661662,0.23812646533485782,0.008705637725938263,"(730, 732)"
7.fit,stack432,0.23376231763245306,0.2338211054671326,0.008547148560682696,"(332, 512)"
28.fit,stack433,0.23487955724647838,0.234900619629511,0.008799758934175662,"(525, 714)"
1.fit,stack434,0.24803231822788283,0.2482163879520721,0.008531391913949977,"(405, 680)"
33.fit,stack435,0.23262991129563557,0.23273947318991758,0.008593793364429633,"(992, 365)"
16.fit,stack436,0.23447921698576907,0.23436112724246505,0.008574843568916763,"(598, 60)"
22.fit,stack437,0.23814354079219235,0.23812646533485782,0.008549006645946803,"(620, 598)"
19.fit,stack438,0.23590075650153144,0.23597801682947034,0.008359649810910235,"(862, 371)"
21.fit,stack439,0.23537098461345085,0.23543958277475158,0.008476997704963326,"(894, 406)"
24.fit,stack440,0.23495357824204494,0.234900619629511,0.008788536916037102,"(910, 20)"
16.fit,stack441,0.2329619628152431,0.23301007989258796,0.009160087341680319,"(1300, 225)"
24.fit,stack442,0.23457003195978623,0.23463093960048179,0.008822171903703914,"(596, 796)"
10.fit,stack443,0.23737204924100103,0.23732178823094321,0.00913880199031137,"(44, 236)"
12.fit,stack444,0.24021908290417865,0.24026646171861712,0.00845174989915687,"(711, 689)"
1.fit,stack445,0.2471528234718181,0.24716322911096184,0.008548910096112885,"(847, 133)"
50.fit,stack446,0.23556755704269172,0.23543958277475158,0.009046175021194654,"(147, 90)"
15.fit,stack447,0.23648846020673328,0.23651592194971724,0.008693275737633163,"(251, 543)"
30.fit,stack448,0.23339529964185113,0.2332805541618721,0.008712865185390288,"(484, 800)"
35.fit,stack449,0.23690205498254324,0.2370532982962721,0.008483062218887562,"(633, 587)"
12.fit,stack450,0.23843182970255017,0.23839442687513052,0.008510227808415535,"(377, 474)"
25.fit,stack451,0.23391690464027795,0.2338211054671326,0.008577542231725866,"(914, 687)"
39.fit,stack452,0.23696971517315873,0.2370532982962721,0.008414301180693152,"(354, 317)"
41.fit,stack453,0.23551229285237116,0.23543958277475158,0.008904316449020695,"(1180, 395)"
33.fit,stack454,0.23275418042902027,0.23273947318991758,0.008569440766521549,"(326, 419)"
12.fit,stack455,0.23961050533622089,0.23946495282694275,0.009010408745788996,"(1207, 597)"
13.fit,stack456,0.23371177693926745,0.2338211054671326,0.009003666047982329,"(1197, 158)"
52.fit,stack457,0.2355091801412374,0.23543958277475158,0.008503277739355377,"(913, 363)"
20.fit,stack458,0.23613359807022002,0.2362470354964645,0.008474916532304151,"(892, 287)"
46.fit,stack459,0.2329984523878642,0.23301007989258796,0.008821733342578844,"(170, 608)"
4.fit,stack460,0.2343903707143504,0.23436112724246505,0.008248114806245497,"(613, 328)"
9.fit,stack461,0.2339076026939064,0.23409118253730107,0.008480299923586267,"(627, 118)"
7.fit,stack462,0.2433068683800892,0.24319517808968485,0.008251805409926542,"(766, 371)"
54.fit,stack463,0.23505330641369399,0.23517016734801388,0.00900879457512509,"(1214, 431)"
15.fit,stack464,0.23559292843952662,0.23543958277475158,0.008736369510573504,"(966, 41)"
58.fit,stack465,0.23554369783174525,0.23570886592878434,0.00847481933040474,"(656, 108)"
23.fit,stack466,0.23336060968489397,0.2332805541618721,0.008817370149130872,"(152, 625)"
19.fit,stack467,0.23748087134910606,0.2375901460346086,0.008501725753352696,"(869, 510)"
34.fit,stack468,0.23468038366230884,0.23463093960048179,0.00889825866316586,"(1048, 74)"
44.fit,stack469,0.23550244059148795,0.23543958277475158,0.008411735815567211,"(492, 543)"
38.fit,stack470,0.23715098516207156,0.2370532982962721,0.008640063761685308,"(747, 694)"
11.fit,stack471,0.2332021958628279,0.2332805541618721,0.008484847422885754,"(445, 162)"
2.fit,stack472,0.235202017222881,0.23517016734801388,0.008716414132782032,"(405, 23)"
10.fit,stack473,0.23339247719811212,0.23355089601440596,0.008496569889692733,"(945, 356)"
6.fit,stack474,0.2325702887965433,0.23246873403753304,0.00889358333496089,"(1140, 606)"
15.fit,stack475,0.23849904916168577,0.23839442687513052,0.008479652658545698,"(808, 659)"
18.fit,stack476,0.2357139113785229,0.23570886592878434,0.008430884463294354,"(575, 127)"
20.fit,stack477,0.23610597726494637,0.2362470354964645,0.008551457642153319,"(776, 99)"
